channel,status,latitude,longitude,elevation
111,good,-43.861196145788526,169.04268129164643,
114,good,-43.86129671949649,169.04272680046088,
116,good,-43.8613642152338,169.04275735203694,
119,good,-43.861465458839774,169.04280317940103,
121,good,-43.861532954577086,169.0428337309771,
124,good,-43.86163419818306,169.04287955834116,
126,good,-43.86170169392037,169.04291010991722,
128,good,-43.86176918965769,169.04294066149328,
131,good,-43.86187043326367,169.04298648885737,
133,good,-43.86193792900098,169.04301704043343,
136,good,-43.86203916766172,169.04306535746872,
137,good,-43.86207290453088,169.04308617094043,
138,good,-43.86210664140005,169.04310698441213,
139,good,-43.86214037826922,169.04312779788384,
140,good,-43.86217411513838,169.04314861135552,
141,good,-43.86220785200754,169.04316942482723,
142,good,-43.86224158887671,169.04319023829893,
143,good,-43.862275288282106,169.04321108611444,
144,good,-43.86230864511322,169.04323224797506,
145,good,-43.862342001944334,169.04325340983567,
146,good,-43.862375541769616,169.04327434773225,
147,good,-43.86240948786978,169.04329478839472,
148,good,-43.86244343396994,169.0433152290572,
149,good,-43.86247727305499,169.04333529376473,
150,good,-43.86251103170764,169.04335507590514,
151,good,-43.86254479036029,169.04337485804552,
152,good,-43.86257854901294,169.04339464018594,
153,good,-43.86261230766559,169.04341442232635,
154,good,-43.86264616525624,169.04343430340447,
155,good,-43.862680031421256,169.04345419305693,
156,good,-43.86271389758627,169.0434740827094,
157,good,-43.862747728331,169.04349409446476,
158,good,-43.86278141714634,169.0435145954876,
159,good,-43.86281510596167,169.04353509651048,
160,good,-43.862848794777,169.04355559753333,
161,good,-43.86288248359233,169.04357609855617,
162,good,-43.86291617240767,169.04359659957902,
163,good,-43.862949861222994,169.0436171006019,
164,good,-43.86298355003832,169.04363760162474,
165,good,-43.86301723885366,169.04365810264758,
166,good,-43.86305045679699,169.04367890024326,
167,good,-43.86308359724046,169.04369974665127,
168,good,-43.86311734729626,169.04371990080585,
169,good,-43.86315110485189,169.04374004644387,
170,good,-43.86318486240752,169.04376019208192,
171,good,-43.863218611705065,169.04378032186685,
172,good,-43.86325234301083,169.04380041711283,
173,good,-43.8632860743166,169.04382051235882,
174,good,-43.86331980562236,169.0438406076048,
175,good,-43.86335353692812,169.0438607028508,
176,good,-43.863387268233886,169.04388079809678,
177,good,-43.86342105273033,169.04390084015236,
178,good,-43.86345485580506,169.04392086362975,
179,good,-43.86348865887978,169.04394088710714,
